brabham-ford,Brabham-Ford,British
brabham-climax,Brabham-Climax,British
lds-climax,LDS-Climax,South African
lds-alfa_romeo,LDS-Alfa Romeo,South African
cooper-ford,Cooper-Ford,British
mclaren-ford,McLaren-Ford,British
mclaren-seren,McLaren-Serenissima,British
eagle-climax,Eagle-Climax,American
eagle-weslake,Eagle-Weslake,American
brabham-repco,Brabham-Repco,British
cooper-ferrari,Cooper-Ferrari,British
cooper-ats,Cooper-ATS,British
mclaren-brm,McLaren-BRM,British
cooper-brm,Cooper-BRM,British
matra-ford,Matra-Ford,French
brm-ford,BRM-Ford,British
mclaren-alfa_romeo,McLaren-Alfa Romeo,British
march-alfa_romeo,March-Alfa Romeo,British
march-ford,March-Ford,British
lotus-pw,"Lotus-Pratt &amp, Whitney",British
shadow-ford,Shadow-Ford,British
shadow-matra,Shadow-Matra,British
brabham-alfa_romeo,Brabham-Alfa Romeo,British
lotus_racing,Lotus,Malaysian
marussia,Marussia,Russian
caterham,Caterham,Malaysian
lotus_f1,Lotus F1,British
manor,Manor Marussia,British
haas,Haas F1 Team,American
racing_point,Racing Point,British
